forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2022-01-12,DAX,1 day,-1.97943101414343,-0.451451069067288,0.0756533626906731,0.608680241044104,2.0863974439886
2022-01-12,DAX,2 day,-2.24164803291387,-0.451798080316542,0.162544654758255,0.780054382637554,2.40142967763307
2022-01-12,DAX,5 day,-2.42287082915722,-0.548060404346367,0.245495831341884,1.00068628309164,2.84252016964238
2022-01-12,DAX,6 day,-2.65984395569993,-0.71207113934409,0.142472423103848,0.997701871974128,2.97626014689162
2022-01-12,DAX,7 day,-2.68804143193134,-0.915135467232798,-0.173510802866794,0.50196058473729,2.26271680471995
2022-01-12,temperature,36 hour,3.19768763884381,4.83556590525127,5.69496244019975,6.55435897514823,8.19223724155569
2022-01-12,temperature,48 hour,3.39663531806386,4.90023875807371,5.68918114334351,6.47812352861332,7.98172696862317
2022-01-12,temperature,60 hour,3.61391346901882,5.22765970007994,6.07439412943531,6.92112855879068,8.53487478985179
2022-01-12,temperature,72 hour,1.70601292887829,3.76327629396717,4.84272465328376,5.92217301260035,7.97943637768923
2022-01-12,temperature,84 hour,1.05195052859171,3.68406151084223,5.06513304963704,6.44620458843186,9.07831557068237
2022-01-12,wind,36 hour,14.0394042391766,18.8401973249827,20.8968168077762,22.953471727815,27.7552131921784
2022-01-12,wind,48 hour,7.45575090206258,17.2542856712196,20.0677031030021,22.1965466520155,26.7152563931595
2022-01-12,wind,60 hour,14.0592946994062,19.719016805307,22.14447863276,24.5700702145154,30.2332629121172
2022-01-12,wind,72 hour,7.12455254883973,10.7626112949629,12.2891586996229,15.0520961061099,20.0350531358618
2022-01-12,wind,84 hour,3.14833258587105,8.24771893603447,10.6325377919231,13.0405654808164,18.6846960588334
